ticker,date,open,close,bid,ask,52_week_low,52_week_high,volume,avg_volume,market_cap,pe_ratio,eps,currency,fetched_at
MSFT,2026-05-19,429.8949890136719,417.42,416.02,420.0,356.28,555.45,31526042,34432295,3100777381888,24.890877,16.77,USD,2026-05-19 23:10:13
NVDA,2026-05-19,219.69500732421875,220.61,222.85,221.77,129.16,236.54,139083506,171196970,5343290064896,45.11452,4.89,USD,2026-05-19 23:10:13
TSLA,2026-05-19,402.9849853515625,404.11,405.07,405.05,273.21,498.83,44824479,62842193,1517725417472,364.06305,1.11,USD,2026-05-19 23:10:14
META,2026-05-19,608.5999755859375,602.61,601.64,608.5,520.26,796.25,10736533,15451549,1529679183872,21.91309,27.5,USD,2026-05-19 23:10:15
NFLX,2026-05-19,90.08000183105467,89.33,85.5,94.0,75.01,134.115,32595085,44475898,376150654976,28.81613,3.1,USD,2026-05-19 23:10:15
AAPL,2026-05-20,298.17999267578125,302.25,297.73,301.98,193.46,303.2,37276629,43770847,4439253450752,36.636364,8.25,USD,2026-05-20 23:18:45
GOOGL,2026-05-20,387.6950073242188,388.91,388.03,393.97,162.0,408.61,30405838,28752447,4711817150464,29.687786,13.1,USD,2026-05-20 23:18:45
AMZN,2026-05-20,260.04998779296875,265.01,258.33,259.22,196.0,278.56,34425988,45848673,2850741813248,32.318295,8.2,USD,2026-05-20 23:18:46
MSFT,2026-05-20,413.9859924316406,421.06,416.02,420.0,356.28,555.45,27738933,34415668,3127816749056,25.092966,16.78,USD,2026-05-20 23:18:46
NVDA,2026-05-20,223.1000061035156,223.47,222.85,221.77,129.16,236.54,171145403,170582196,5412560568320,45.60612,4.9,USD,2026-05-20 23:18:47
TSLA,2026-05-20,407.6449890136719,417.26,405.07,405.05,273.21,498.83,44903311,62655642,1567113347072,382.80734,1.09,USD,2026-05-20 23:18:47
META,2026-05-20,600.7000122070312,605.06,601.64,608.5,520.26,796.25,11270062,15411547,1535898419200,22.018196,27.48,USD,2026-05-20 23:18:48
NFLX,2026-05-20,88.51499938964844,88.09,85.5,94.0,75.01,134.115,21271124,44511177,370929238016,28.416128,3.1,USD,2026-05-20 23:18:49
AAPL,2026-05-21,301.04998779296875,304.99,297.73,301.98,193.46,305.539,42823425,43681522,4479496749056,36.968483,8.25,USD,2026-05-21 23:07:44
GOOGL,2026-05-21,385.7000122070313,387.66,388.03,393.97,162.0,408.61,23459591,28801251,4696673091584,29.569796,13.11,USD,2026-05-21 23:07:44
AMZN,2026-05-21,263.54998779296875,268.46,258.33,259.22,196.0,278.56,35693581,45672624,2887853539328,32.074074,8.37,USD,2026-05-21 23:07:45
MSFT,2026-05-21,424.8200073242188,419.09,416.02,420.0,356.28,555.45,31024851,34310293,3113182822400,24.945835,16.8,USD,2026-05-21 23:07:45
NVDA,2026-05-21,222.1999969482422,219.51,222.85,221.77,129.16,236.54,200994166,170754172,5316647321600,33.61562,6.53,USD,2026-05-21 23:07:46
TSLA,2026-05-21,422.2449951171875,417.85,405.07,405.05,273.21,498.83,42321926,62374508,1569329250304,386.89813,1.08,USD,2026-05-21 23:07:46
META,2026-05-21,600.2000122070312,607.38,601.64,608.5,520.26,796.25,12300310,15345748,1541787615232,22.062477,27.53,USD,2026-05-21 23:07:46
NFLX,2026-05-21,88.04000091552734,89.3,85.5,94.0,75.01,134.115,27146660,44171841,376024334336,28.806454,3.1,USD,2026-05-21 23:07:47
AAPL,2026-05-22,306.0599975585937,308.82,308.55,309.89,193.46,311.4,43605063,43669777,4535749181440,37.3422,8.27,USD,2026-05-22 23:08:17
GOOGL,2026-05-22,387.3299865722656,382.97,380.0,390.0,162.0,408.61,19134802,28738885,4639851282432,29.23435,13.1,USD,2026-05-22 23:08:17
AMZN,2026-05-22,268.6499938964844,266.32,254.83,267.0,196.0,278.56,26386815,45528315,2864833626112,31.405663,8.48,USD,2026-05-22 23:08:17
MSFT,2026-05-22,419.4800109863281,418.57,418.41,418.61,356.28,555.45,21911688,34263476,3109320130560,24.90006,16.81,USD,2026-05-22 23:08:18
NVDA,2026-05-22,220.9040069580078,215.33,213.0,227.8,129.16,236.54,166941160,171318169,5215507972096,33.026073,6.52,USD,2026-05-22 23:08:18
TSLA,2026-05-22,422.6650085449219,426.01,425.87,426.34,273.21,498.83,45063632,62062252,1599975981056,390.83487,1.09,USD,2026-05-22 23:08:18
META,2026-05-22,607.489990234375,610.26,609.84,610.75,520.26,796.25,11103030,15316147,1549098287104,22.183207,27.51,USD,2026-05-22 23:08:19
NFLX,2026-05-22,89.19000244140625,88.6,84.62,93.64,75.01,134.115,23709091,43924892,373076754432,28.580645,3.1,USD,2026-05-22 23:08:19
AAPL,2026-05-23,306.1199951171875,308.82,308.55,309.89,195.07,311.4,43605063,43771114,4535749181440,37.432728,8.25,USD,2026-05-23 22:03:42
GOOGL,2026-05-23,387.3500061035156,382.97,380.0,390.0,162.0,408.61,19134802,28564487,4639851282432,29.23435,13.1,USD,2026-05-23 22:03:43
AMZN,2026-05-23,268.6600036621094,266.32,254.83,267.0,196.0,278.56,26386815,45115152,2864833626112,31.629454,8.42,USD,2026-05-23 22:03:43
MSFT,2026-05-23,419.5400085449219,418.57,418.41,418.61,356.28,555.45,21911688,33933219,3109320130560,24.944576,16.78,USD,2026-05-23 22:03:44
NVDA,2026-05-23,220.8999938964844,215.33,213.0,227.8,132.92,236.54,166941160,171279452,5215507972096,33.026073,6.52,USD,2026-05-23 22:03:44
TSLA,2026-05-23,422.6700134277344,426.01,425.87,426.34,273.21,498.83,45063632,61687869,1599975981056,383.7928,1.11,USD,2026-05-23 22:03:45
META,2026-05-23,607.8800048828125,610.26,609.84,610.75,520.26,796.25,11103030,15365157,1549098287104,22.175146,27.52,USD,2026-05-23 22:03:45
NFLX,2026-05-23,89.0999984741211,88.6,84.62,93.64,75.01,134.115,23709091,43694322,373076754432,28.580645,3.1,USD,2026-05-23 22:03:46
AAPL,2026-05-24,306.1199951171875,308.82,308.55,309.89,195.07,311.4,43670223,43718800,4535749181440,37.432728,8.25,USD,2026-05-24 23:10:40
GOOGL,2026-05-24,387.3500061035156,382.97,380.0,390.0,162.0,408.61,20442123,28612050,4639851282432,29.23435,13.1,USD,2026-05-24 23:10:40
AMZN,2026-05-24,268.6600036621094,266.32,254.83,267.0,196.0,278.56,27535526,45179312,2864833626112,31.629454,8.42,USD,2026-05-24 23:10:41
MSFT,2026-05-24,419.5400085449219,418.57,418.41,418.61,356.28,555.45,22390344,33934001,3109320130560,24.944576,16.78,USD,2026-05-24 23:10:41
NVDA,2026-05-24,220.8999938964844,215.33,213.0,227.8,132.92,236.54,169275710,171217450,5215507972096,33.026073,6.52,USD,2026-05-24 23:10:42
TSLA,2026-05-24,422.6700134277344,426.01,425.87,426.34,273.21,498.83,46104710,61738004,1599975981056,383.7928,1.11,USD,2026-05-24 23:10:42
META,2026-05-24,607.8800048828125,610.26,609.84,610.75,520.26,796.25,11688623,15449504,1549098287104,22.175146,27.52,USD,2026-05-24 23:10:43
NFLX,2026-05-24,89.0999984741211,88.6,84.62,93.64,75.01,134.115,23847195,43865535,373076754432,28.580645,3.1,USD,2026-05-24 23:10:43
AAPL,2026-05-25,306.1199951171875,308.82,308.55,309.89,195.07,311.4,43670223,43882808,4535749181440,37.432728,8.25,USD,2026-05-25 22:13:42
GOOGL,2026-05-25,387.3500061035156,382.97,380.0,390.0,162.0,408.61,20442123,28589893,4639851282432,29.23435,13.1,USD,2026-05-25 22:13:43
AMZN,2026-05-25,268.6600036621094,266.32,254.83,267.0,196.0,278.56,27535526,45242147,2864833626112,31.629454,8.42,USD,2026-05-25 22:13:43
MSFT,2026-05-25,419.5400085449219,418.57,418.41,418.61,356.28,555.45,22390344,33775124,3109320130560,24.944576,16.78,USD,2026-05-25 22:13:44
NVDA,2026-05-25,220.8999938964844,215.33,213.0,227.8,132.92,236.54,169275710,169915488,5215507972096,33.026073,6.52,USD,2026-05-25 22:13:44
TSLA,2026-05-25,422.6700134277344,426.01,425.87,426.34,273.21,498.83,46104710,61851583,1599975981056,383.7928,1.11,USD,2026-05-25 22:13:45
META,2026-05-25,607.8800048828125,610.26,609.84,610.75,520.26,796.25,11688623,15517026,1549098287104,22.175146,27.52,USD,2026-05-25 22:13:45
NFLX,2026-05-25,89.0999984741211,88.6,84.62,93.64,75.01,134.115,23847195,43448260,373076754432,28.580645,3.1,USD,2026-05-25 22:13:46
AAPL,2026-05-26,309.3999938964844,308.33,307.55,308.48,195.07,311.82,46602561,44075103,4528552280064,37.373333,8.25,USD,2026-05-26 22:25:45
GOOGL,2026-05-26,384.510009765625,388.88,387.83,388.71,162.0,408.61,26389675,28459205,4711453818880,29.685495,13.1,USD,2026-05-26 22:25:46
AMZN,2026-05-26,267.57501220703125,265.29,264.55,265.43,196.0,278.56,37859240,45200236,2853753847808,31.507126,8.42,USD,2026-05-26 22:25:46
MSFT,2026-05-26,416.4299926757813,416.03,415.26,419.2,356.28,555.45,30100943,33764611,3090451791872,24.793205,16.78,USD,2026-05-26 22:25:46
NVDA,2026-05-26,216.57749938964844,214.86,214.25,215.16,132.92,236.54,182422520,166733948,5204124106752,32.953987,6.52,USD,2026-05-26 22:25:47
TSLA,2026-05-26,430.0199890136719,433.59,433.92,445.0,273.21,498.83,44408993,61989068,1628444295168,390.6216,1.11,USD,2026-05-26 22:25:47
META,2026-05-26,609.5999755859375,612.34,611.82,613.5,520.26,796.25,10995353,15598348,1554378129408,22.250727,27.52,USD,2026-05-26 22:25:47
NFLX,2026-05-26,88.38400268554688,87.68,83.89,92.77,75.01,134.115,22843243,42745023,369202823168,28.283873,3.1,USD,2026-05-26 22:25:48
AAPL,2026-05-27,308.44000244140625,310.85,310.57,311.16,195.07,313.26,50328044,43668981,4565564915712,37.63317,8.26,USD,2026-05-27 23:22:17
