date,headline,ticker,source,neg,neu,pos,compound,sentiment_label
2026-02-22,Alphabet Has a Plan for Worldwide AI Dominance - The Globe and Mail,GOOGL,Google RSS,0.0,0.87,0.13,0.2023,positive
2026-02-21,Alphabet GOOG stock jumps 3.7% — what to watch next week for Google shares - TechStock²,GOOGL,Google RSS,0.0,0.872,0.128,0.296,positive
2026-02-21,Meet the Most Profitable Company in America (It’s Not Apple or Microsoft) - 24/7 Wall St.,GOOGL,Google RSS,0.0,0.824,0.176,0.4927,positive
2026-02-20,Why Google's Stock Hit Record Highs Despite Losing Two Antitrust Trials - Android Headlines,GOOGL,Google RSS,0.0,0.856,0.144,0.2924,positive
2026-02-19,"Google Gemini Pro 3.1: Alphabet Updates Its Benchmark AI, Analysis Says It Undercuts OpenAI's ChatGPT, Anthropic's Claude On Cost - Stocktwits",GOOGL,Google RSS,0.0,1.0,0.0,0.0,neutral
2026-02-20,Why Alphabet’s GOOG stock is up today: Gemini 3.1 Pro rollout and a new AI shopping deal - Bez Kabli,GOOGL,Google RSS,0.0,1.0,0.0,0.0,neutral
2026-02-19,Planning to buy a home? Zillow’s guidance is now built into Google’s AI - Stock Titan,GOOGL,Google RSS,0.0,1.0,0.0,0.0,neutral
2026-02-19,Alphabet (GOOG) Stock: Soars as Google Teams Up With Sea to Launch AI Shopping and Gaming Push in Southeast Asia - CoinCentral,GOOGL,Google RSS,0.0,1.0,0.0,0.0,neutral
2026-02-18,Google (GOOGL) Stock; Edges Lower Pre-I/O Amid Android XR and AI Teasers - CoinCentral,GOOGL,Google RSS,0.245,0.755,0.0,-0.4404,negative
2026-02-20,Google Stock Rebounds Off $300 Support on Gemini 3.1 Launch but CapEx and Debt Concerns Grow - FXLeaders,GOOGL,Google RSS,0.154,0.758,0.088,-0.34,negative
2026-02-17,Is Google Stock Ready For Another Rally?,GOOGL,Bing RSS,0.0,0.51,0.49,0.5859,positive
2026-02-18,An Inference Tsunami May Be Coming for Google Cloud,GOOGL,Bing RSS,0.0,1.0,0.0,0.0,neutral
2026-02-22,The next Nvidia growth wave is coming from an unlikely place,GOOGL,Yahoo RSS,0.0,0.794,0.206,0.3818,positive
2026-02-22,How Will Dow Jones Futures Open After Trump Hikes Global Tariff To 15%?,GOOGL,Yahoo RSS,0.0,1.0,0.0,0.0,neutral
2026-02-22,Alphabet Has a Plan for Worldwide AI Dominance,GOOGL,Yahoo RSS,0.0,0.795,0.205,0.2023,positive
2026-02-22,"Sea Limited (SE) Enters a Strategic Partnership with Google, Here’s What You Need to Know",GOOGL,Yahoo RSS,0.119,0.881,0.0,-0.2263,negative
2026-02-22,Citi Notes Snowflake’s (SNOW) 30% Pull Back to Be an Overreaction,GOOGL,Yahoo RSS,0.145,0.855,0.0,-0.1779,negative
2026-02-22,"NVIDIA’s (NVDA) Cost of Ownership is Lower Than What People Think, Says Jim Cramer",GOOGL,Yahoo RSS,0.145,0.855,0.0,-0.296,negative
2026-02-22,The ‘Godfather of Data Centers’ Making Offers Big Tech Can’t Refuse,GOOGL,Yahoo RSS,0.18,0.82,0.0,-0.296,negative
2026-02-22,Alphabet Inc. (GOOGL) Touted as AI-Driven Search Winner as Analysts See TAM Expansion,GOOGL,Yahoo RSS,0.075,0.688,0.237,0.5574,positive
2026-02-22,Broadcom Inc. (AVGO) Draws Mixed Analyst Views as AI ASIC Momentum Faces Hyperscaler Risks,GOOGL,Yahoo RSS,0.139,0.861,0.0,-0.2732,negative
2026-02-22,Mizuho Reiterates Outperform on Alphabet (GOOGL) With $410 Target Price,GOOGL,Yahoo RSS,0.0,1.0,0.0,0.0,neutral
2026-02-22,How Apple’s Lazy AI Strategy Could Crush the Competition,GOOGL,Yahoo RSS,0.369,0.631,0.0,-0.4767,negative
2026-02-22,"2 ETFs Robinhood Retail Investors Favor Over Palantir, Alphabet, Meta, and Netflix Shares",GOOGL,Yahoo RSS,0.0,0.692,0.308,0.5994,positive
2026-02-22,1 Unstoppable Artificial Intelligence (AI) Stock That Berkshire Hathaway Bought When Warren Buffett Was Still CEO,GOOGL,Yahoo RSS,0.095,0.741,0.164,0.3182,positive
2026-02-22,Wall Street’s Latest Bet Is on ‘HALO’ Companies With AI Immunity,GOOGL,Yahoo RSS,0.0,1.0,0.0,0.0,neutral
2026-02-22,The Artificial Intelligence (AI) Infrastructure Stock That Hyperscalers Are Fighting Over for 2026,GOOGL,Yahoo RSS,0.151,0.663,0.187,0.1531,positive
2026-02-22,"The Cheapest ""Magnificent Seven"" Stock Is a Screaming Buy Right Now",GOOGL,Yahoo RSS,0.168,0.581,0.252,0.3182,positive
2026-02-21,DOJ Probes Netflix’s Power Over Filmmakers in Warner Deal Review,GOOGL,Yahoo RSS,0.0,1.0,0.0,0.0,neutral
2026-02-21,"Whetstone Dumps 79,000 monday.com Shares Worth $15.3 Million",GOOGL,Yahoo RSS,0.229,0.424,0.347,0.1027,positive
2026-02-21,Ray Dalio Sours On America And Sold These Tech Stocks,GOOGL,Yahoo RSS,0.0,1.0,0.0,0.0,neutral
2026-02-21,Nvidia vs. Alphabet: Which Is the Best Artificial Intelligence (AI) Stock to Buy Now?,GOOGL,Yahoo RSS,0.0,0.622,0.378,0.8074,positive
2026-02-20,Amazon Stock Climbs After Trump Tariff Ruling. E-Commerce Stocks Jump. - Investor's Business Daily,AMZN,Google RSS,0.0,0.884,0.116,0.1779,positive
2026-02-22,Could Amazon Stock Gain 79% This Year? 1 Wall Street Analyst Thinks So. - The Motley Fool,AMZN,Google RSS,0.132,0.636,0.232,0.296,positive
2026-02-21,Warren Buffett’s Last Move Was Selling Amazon And Buying This Stock Instead - Yahoo Finance,AMZN,Google RSS,0.0,0.892,0.108,0.1779,positive
2026-02-20,Amazon Stock Still Makes No Sense (NASDAQ:AMZN) - Seeking Alpha,AMZN,Google RSS,0.185,0.672,0.143,-0.128,negative
2026-02-22,"‘That Doesn’t Make Sense,’ Says Top Investor About Amazon Stock - TipRanks",AMZN,Google RSS,0.0,0.741,0.259,0.3612,positive
